museums/name,museums/address,museums/longitude,museums/latitude,museums/phone_number,museums/opening_hours/open_now,museums/opening_hours/periods/0/close/day,museums/opening_hours/periods/0/close/time,museums/opening_hours/periods/0/open/day,museums/opening_hours/periods/0/open/time,museums/opening_hours/periods/1/close/day,museums/opening_hours/periods/1/close/time,museums/opening_hours/periods/1/open/day,museums/opening_hours/periods/1/open/time,museums/opening_hours/periods/2/close/day,museums/opening_hours/periods/2/close/time,museums/opening_hours/periods/2/open/day,museums/opening_hours/periods/2/open/time,museums/opening_hours/periods/3/close/day,museums/opening_hours/periods/3/close/time,museums/opening_hours/periods/3/open/day,museums/opening_hours/periods/3/open/time,museums/opening_hours/periods/4/close/day,museums/opening_hours/periods/4/close/time,museums/opening_hours/periods/4/open/day,museums/opening_hours/periods/4/open/time,museums/opening_hours/periods/5/close/day,museums/opening_hours/periods/5/close/time,museums/opening_hours/periods/5/open/day,museums/opening_hours/periods/5/open/time,museums/opening_hours/weekday_text/0,museums/opening_hours/weekday_text/1,museums/opening_hours/weekday_text/2,museums/opening_hours/weekday_text/3,museums/opening_hours/weekday_text/4,museums/opening_hours/weekday_text/5,museums/opening_hours/weekday_text/6,museums/rating,museums/website,museums/permanently_closed,museums/opening_hours/periods/6/close/day,museums/opening_hours/periods/6/close/time,museums/opening_hours/periods/6/open/day,museums/opening_hours/periods/6/open/time
"THE HISTORY OF CANNABIS MUSEUM
","3626 GEORGIA AVENUE NW
",-77.02433,38.934824,+1 202-751-0846,false,0,1800,0,1200,1,1900,1,1100,2,1900,2,1100,3,1900,3,1100,4,1900,4,1100,5,2000,5,1100,Monday: 11:00 AM – 7:00 PM,Tuesday: 11:00 AM – 7:00 PM,Wednesday: 11:00 AM – 7:00 PM,Thursday: 11:00 AM – 7:00 PM,Friday: 11:00 AM – 8:00 PM,Saturday: 11:00 AM – 8:00 PM,Sunday: 12:00 – 6:00 PM,4.3,http://thcmuseum.org/,,6,2000,6,1100
D.C. FIRE AND EMS MUSEUM,439 NEW JERSEY AVENUE NW,-77.0109,38.895835,+1 202-673-1709,false,1,1400,1,1000,2,1400,2,1000,3,1400,3,1000,4,1400,4,1000,5,1400,5,1000,,,,,Monday: 10:00 AM – 2:00 PM,Tuesday: 10:00 AM – 2:00 PM,Wednesday: 10:00 AM – 2:00 PM,Thursday: 10:00 AM – 2:00 PM,Friday: 10:00 AM – 2:00 PM,Saturday: Closed,Sunday: Closed,4.5,https://www.facebook.com/DC-Fire-and-EMS-Museum-110240675701395/,,,,,
DUMBARTON HOUSE,2715 Q STREET NW,-77.05586536,38.91085356,+1 202-337-2288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,http://www.dumbartonhouse.org/,true,,,,
HILLWOOD MUSEUM,4155 LINNEAN AVENUE NW,-77.05261735,38.94363425,+1 202-686-5807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,http://www.hillwoodmuseum.org/,true,,,,
CORCORAN GALLERY OF ART,500 17TH STREET NW,-77.03974044,38.89584701,+1 202-994-1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,http://corcoran.gwu.edu/,,,,,
THE TEXTILE MUSUEM,701 21ST STREET NW,-77.04641484,38.89879551,+1 202-994-5200,false,0,1700,0,1300,1,1700,1,1100,3,1900,3,1100,4,1900,4,1100,5,1700,5,1100,6,1700,6,1000,Monday: 11:00 AM – 5:00 PM,Tuesday: Closed,Wednesday: 11:00 AM – 7:00 PM,Thursday: 11:00 AM – 7:00 PM,Friday: 11:00 AM – 5:00 PM,Saturday: 10:00 AM – 5:00 PM,Sunday: 1:00 – 5:00 PM,4.4,http://museum.gwu.edu/,,,,,
ROCK CREEK PARK NATURE CENTER AND PLANETARIUM,5200 GLOVER ROAD NW,-77.05168557,38.95991748,+1 202-895-6070,true,0,1700,0,0900,3,1700,3,0900,4,1700,4,0900,5,1700,5,0900,6,1700,6,0900,,,,,Monday: Closed,Tuesday: Closed,Wednesday: 9:00 AM – 5:00 PM,Thursday: 9:00 AM – 5:00 PM,Friday: 9:00 AM – 5:00 PM,Saturday: 9:00 AM – 5:00 PM,Sunday: 9:00 AM – 5:00 PM,4.3,http://www.nps.gov/rocr/planyourvisit/naturecenter.htm,,,,,
NATIONAL MUSEUM OF WOMEN IN THE ARTS,1250 NEW YORK AVENUE NW,-77.02916139,38.90004902,+1 202-208-3100,false,1,1630,1,0830,2,1630,2,0830,3,1630,3,0830,4,1630,4,0830,5,1630,5,0830,,,,,Monday: 8:30 AM – 4:30 PM,Tuesday: 8:30 AM – 4:30 PM,Wednesday: 8:30 AM – 4:30 PM,Thursday: 8:30 AM – 4:30 PM,Friday: 8:30 AM – 4:30 PM,Saturday: Closed,Sunday: Closed,4.3,http://www.doi.gov/interiormuseum/index.cfm,,,,,
HEURICH HOUSE MUSEUM,1307 NEW HAMPSHIRE AVENUE NW,-77.04460391,38.90802275,+1 202-429-1894,false,4,1530,4,1130,5,1530,5,1130,6,1530,6,1130,,,,,,,,,,,,,Monday: Closed,Tuesday: Closed,Wednesday: Closed,Thursday: 11:30 AM – 3:30 PM,Friday: 11:30 AM – 3:30 PM,Saturday: 11:30 AM – 3:30 PM,Sunday: Closed,4.6,http://heurichhouse.org/,,,,,
CHARLES SUMNER SCHOOL,1201 17TH STREET NW,-77.03823126,38.90596805,+1 202-730-0478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,https://www.nps.gov/nr/travel/wash/dc58.htm,,,,,
FREER GALLERY OF ART,,-77.027348,38.888268,+1 202-633-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,http://freersackler.si.edu/,true,,,,
NATIONAL MUSEUM OF AMERICAN JEWISH MILITARY HISTORY,1811 R STREET NW,-77.04211348,38.91281314,+1 202-265-6280,true,1,1700,1,0900,2,1700,2,0900,3,1700,3,0900,4,1700,4,0900,5,1700,5,0900,,,,,Monday: 9:00 AM – 5:00 PM,Tuesday: 9:00 AM – 5:00 PM,Wednesday: 9:00 AM – 5:00 PM,Thursday: 9:00 AM – 5:00 PM,Friday: 9:00 AM – 5:00 PM,Saturday: Closed,Sunday: Closed,4.6,http://www.nmajmh.org/,,,,,
DONALD W. REYNOLDS CENTER FOR AMERICAN ART AND PORTRAITURE,,-77.022972,38.898181,+1 202-633-7970,false,0,1900,0,1130,1,1900,1,1130,2,1900,2,1130,3,1900,3,1130,4,1900,4,1130,5,1900,5,1130,Monday: 11:30 AM – 7:00 PM,Tuesday: 11:30 AM – 7:00 PM,Wednesday: 11:30 AM – 7:00 PM,Thursday: 11:30 AM – 7:00 PM,Friday: 11:30 AM – 7:00 PM,Saturday: 11:30 AM – 7:00 PM,Sunday: 11:30 AM – 7:00 PM,4.8,https://www.si.edu/newsdesk/photos/donald-w-reynolds-center-american-art-and-portraiture,,6,1900,6,1130
THE PHILLIPS COLLECTION,1600 21ST STREET NW,-77.04685225,38.91150234,+1 202-387-2151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,http://www.phillipscollection.org/index.aspx,true,,,,
L. RON HUBBARD HOUSE,1812 19TH STREET NW,-77.04373354,38.91458854,+1 202-797-9826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,http://www.scientology-washingtondc.org/,,,,,
DONALD W. REYNOLDS CENTER FOR AMERICAN ART AND PORTRAITURE,,-77.022972,38.898181,+1 202-633-7970,false,0,1900,0,1130,1,1900,1,1130,2,1900,2,1130,3,1900,3,1130,4,1900,4,1130,5,1900,5,1130,Monday: 11:30 AM – 7:00 PM,Tuesday: 11:30 AM – 7:00 PM,Wednesday: 11:30 AM – 7:00 PM,Thursday: 11:30 AM – 7:00 PM,Friday: 11:30 AM – 7:00 PM,Saturday: 11:30 AM – 7:00 PM,Sunday: 11:30 AM – 7:00 PM,4.8,https://www.si.edu/newsdesk/photos/donald-w-reynolds-center-american-art-and-portraiture,,6,1900,6,1130
AFRICAN AMERICAN CIVIL WAR MEMORIAL MUSEUM,1925 VERMONT AVENUE NW,-77.02536383,38.91643609,+1 202-667-2667,false,0,1600,0,1200,1,1700,1,1000,2,1830,2,1000,3,1830,3,1000,4,1830,4,1000,5,1830,5,1000,Monday: 10:00 AM – 5:00 PM,Tuesday: 10:00 AM – 6:30 PM,Wednesday: 10:00 AM – 6:30 PM,Thursday: 10:00 AM – 6:30 PM,Friday: 10:00 AM – 6:30 PM,Saturday: 10:00 AM – 4:00 PM,Sunday: 12:00 – 4:00 PM,4.7,http://www.afroamcivilwar.org/,,6,1600,6,1000
HISTORICAL SOCIETY OF WASHINGTON DC,801 K STREET NW,-77.02294275,38.90262211,+1 202-516-1363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,http://www.dchistory.org/,true,,,,
ART MUSEUM OF THE AMERICAS,201 18TH STREET NW,-77.0414716,38.89279239,+1 202-370-0147,false,0,1700,0,1000,2,1700,2,1000,3,1700,3,1000,4,1700,4,1000,5,1700,5,1000,6,1700,6,1000,Monday: Closed,Tuesday: 10:00 AM – 5:00 PM,Wednesday: 10:00 AM – 5:00 PM,Thursday: 10:00 AM – 5:00 PM,Friday: 10:00 AM – 5:00 PM,Saturday: 10:00 AM – 5:00 PM,Sunday: 10:00 AM – 5:00 PM,4.5,http://museum.oas.org/,,,,,
SMITHSONIAN INSTITUTION - CASTLE,1000 JEFFERSON DRIVE SW,-77.02598796,38.88880868,+1 202-633-1000,true,0,1730,0,0830,1,1730,1,0830,2,1730,2,0830,3,1730,3,0830,4,1730,4,0830,5,1730,5,0830,Monday: 8:30 AM – 5:30 PM,Tuesday: 8:30 AM – 5:30 PM,Wednesday: 8:30 AM – 5:30 PM,Thursday: 8:30 AM – 5:30 PM,Friday: 8:30 AM – 5:30 PM,Saturday: 8:30 AM – 5:30 PM,Sunday: 8:30 AM – 5:30 PM,4.5,https://www.si.edu/museums/smithsonian-institution-building,,6,1730,6,0830
INTERNATIONAL SPY MUSEUM,800 F STREET NW,-77.02328389,38.89697903,+1 202-393-7798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,https://www.spymuseum.org/,true,,,,
LUTHER W. BRADY ART GALLERY,805 21ST STREET NW,-77.04638644,38.89980986,+1 202-994-1525,false,2,1700,2,1300,3,1700,3,1300,4,1700,4,1300,5,1700,5,1300,6,1700,6,1300,,,,,Monday: Closed,Tuesday: 1:00 – 5:00 PM,Wednesday: 1:00 – 5:00 PM,Thursday: 1:00 – 5:00 PM,Friday: 1:00 – 5:00 PM,Saturday: 1:00 – 5:00 PM,Sunday: Closed,3.8,http://www.gwu.edu/~bradyart,,,,,
OCTAGON HOUSE,1799 NEW YORK AVENUE NW,-77.04141591,38.8963463,+1 202-626-7439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,https://architectsfoundation.org/octagon-museum/,true,,,,
NATIONAL GALLERY OF ART - EAST BUILDING,,-77.016616,38.891206,+1 202-842-6511,false,5,1700,5,1000,,,,,,,,,,,,,,,,,,,,,Monday: Closed,Tuesday: Closed,Wednesday: Closed,Thursday: Closed,Friday: 10:00 AM – 5:00 PM,Saturday: Closed,Sunday: Closed,4.6,https://www.nga.gov/about/welcome-to-the-east-building.html,,,,,
NATIONAL GALLERY OF ART SCULPTURE GARDEN,,-77.022906,38.891254,+1 202-216-9397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,http://www.nga.gov/,true,,,,
U.S. DAUGHTERS OF 1812 LIBRARY AND MUSEUM,1463 RHODE ISLAND AVENUE NW,-77.03415685,38.90835625,+1 202-745-1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://usdaughters1812.org/museum/,,,,,
NATIONAL GALLERY OF ART - WEST BUILDING,,-77.019922,38.891299,+1 202-737-4215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,https://www.nga.gov/,true,,,,
NATIONAL MUSEUM OF AMERICAN HISTORY,,-77.029989,38.891199,+1 202-633-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,https://americanhistory.si.edu/,true,,,,
NATIONAL GEOGRAPHIC MUSEUM,1145 17TH STREET NW,-77.03815314,38.90518966,+1 202-857-7700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,http://www.nationalgeographic.org/dc,true,,,,
NAVAL HERITAGE CENTER,701 PENNSYLVANIA AVENUE NW,-77.02238001,38.89443849,+1 202-380-0710,true,0,1700,0,0930,1,1700,1,0930,2,1700,2,0930,3,1700,3,0930,4,1700,4,0930,5,1700,5,0930,Monday: 9:30 AM – 5:00 PM,Tuesday: 9:30 AM – 5:00 PM,Wednesday: 9:30 AM – 5:00 PM,Thursday: 9:30 AM – 5:00 PM,Friday: 9:30 AM – 5:00 PM,Saturday: 9:30 AM – 5:00 PM,Sunday: 9:30 AM – 5:00 PM,4.6,https://www.navymemorial.org/visitors-center,,6,1700,6,0930
DECATUR HOUSE MUSEUM,748 JACKSON PLACE NW,-77.03819661,38.90002633,+1 202-218-4333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,https://www.whitehousehistory.org/decatur-house,,,,,
O STREET MUSEUM FOUNDATION,2020 O STREET NW,-77.04592519,38.90838357,+1 202-496-2070,false,0,1700,0,1100,1,1700,1,1100,2,1700,2,1100,3,1700,3,1100,4,1700,4,1100,5,1700,5,1100,Monday: 11:00 AM – 5:00 PM,Tuesday: 11:00 AM – 5:00 PM,Wednesday: 11:00 AM – 5:00 PM,Thursday: 11:00 AM – 5:00 PM,Friday: 11:00 AM – 5:00 PM,Saturday: 11:00 AM – 5:00 PM,Sunday: 11:00 AM – 5:00 PM,4.2,http://www.omuseum.org/,,6,1700,6,1100
THE SAINT JOHN PAUL II NATIONAL SHRINE,3900 HAREWOOD ROAD NE,-77.00466482,38.93775908,+1 202-635-5400,false,0,1700,0,1000,1,1700,1,1000,2,1700,2,1000,3,1700,3,1000,4,1700,4,1000,5,1700,5,1000,Monday: 10:00 AM – 5:00 PM,Tuesday: 10:00 AM – 5:00 PM,Wednesday: 10:00 AM – 5:00 PM,Thursday: 10:00 AM – 5:00 PM,Friday: 10:00 AM – 5:00 PM,Saturday: 10:00 AM – 5:00 PM,Sunday: 10:00 AM – 5:00 PM,4.9,http://www.jp2shrine.org/,,6,1700,6,1000
AMERICAN POETRY MUSEUM,716 MONROE STREET NE,-76.99500622,38.93283333,+1 202-670-6252,false,0,1600,0,1000,2,2000,2,1700,4,2000,4,1700,6,1600,6,1000,,,,,,,,,Monday: Closed,Tuesday: 5:00 – 8:00 PM,Wednesday: Closed,Thursday: 5:00 – 8:00 PM,Friday: Closed,Saturday: 10:00 AM – 4:00 PM,Sunday: 10:00 AM – 4:00 PM,4.6,http://www.americanpoetrymuseum.org/,,,,,
THE NATIONAL BONSAI AND PENJING MUSEUM,3501 NEW YORK AVENUE NE,-76.96989039,38.9124031,+1 202-396-3510,false,0,1600,0,1000,1,1600,1,1000,2,1600,2,1000,3,1600,3,1000,4,1600,4,1000,5,1600,5,1000,Monday: 10:00 AM – 4:00 PM,Tuesday: 10:00 AM – 4:00 PM,Wednesday: 10:00 AM – 4:00 PM,Thursday: 10:00 AM – 4:00 PM,Friday: 10:00 AM – 4:00 PM,Saturday: 10:00 AM – 4:00 PM,Sunday: 10:00 AM – 4:00 PM,4.8,https://www.bonsai-nbf.org/,,6,1600,6,1000
NATIONAL MUSEUM OF UNITED STATES NAVY,736 SICARD STREET SE,-76.99530404,38.87303544,+1 202-685-0589,true,1,1600,1,0900,2,1600,2,0900,3,1600,3,0900,4,1600,4,0900,5,1600,5,0900,6,1600,6,1000,Monday: 9:00 AM – 4:00 PM,Tuesday: 9:00 AM – 4:00 PM,Wednesday: 9:00 AM – 4:00 PM,Thursday: 9:00 AM – 4:00 PM,Friday: 9:00 AM – 4:00 PM,Saturday: 10:00 AM – 4:00 PM,Sunday: Closed,4.5,http://www.history.navy.mil/museums/NationalMuseum/org8-1.htm,,,,,
ARMENIAN GENOCIDE MUSEUM AND MEMORIAL,1334 G STREET NW,-77.03108204,38.89804146,+1 202-488-0400,false,0,1730,0,1000,1,1730,1,1000,2,1730,2,1000,3,1730,3,1000,4,1730,4,1000,5,1730,5,1000,Monday: 10:00 AM – 5:30 PM,Tuesday: 10:00 AM – 5:30 PM,Wednesday: 10:00 AM – 5:30 PM,Thursday: 10:00 AM – 5:30 PM,Friday: 10:00 AM – 5:30 PM,Saturday: 10:00 AM – 5:30 PM,Sunday: 10:00 AM – 5:30 PM,4.8,http://www.ushmm.org/,,6,1730,6,1000
POWHATAN MUSEUM,1519 MONROE STREET NW,-77.0355043,38.93243069,+1 202-208-3100,false,1,1630,1,0830,2,1630,2,0830,3,1630,3,0830,4,1630,4,0830,5,1630,5,0830,,,,,Monday: 8:30 AM – 4:30 PM,Tuesday: 8:30 AM – 4:30 PM,Wednesday: 8:30 AM – 4:30 PM,Thursday: 8:30 AM – 4:30 PM,Friday: 8:30 AM – 4:30 PM,Saturday: Closed,Sunday: Closed,4.3,http://www.doi.gov/interiormuseum/index.cfm,,,,,
AMERICAN UNIVERSITY MUSEUM AT THE KATZEN ARTS CENTER, 3500 NEBRASKA AVENUE NW,-77.086851,38.939092,+1 202-885-1300,false,0,1600,0,1100,2,1600,2,1100,3,1600,3,1100,4,1600,4,1100,5,1600,5,1100,6,1600,6,1100,Monday: Closed,Tuesday: 11:00 AM – 4:00 PM,Wednesday: 11:00 AM – 4:00 PM,Thursday: 11:00 AM – 4:00 PM,Friday: 11:00 AM – 4:00 PM,Saturday: 11:00 AM – 4:00 PM,Sunday: 11:00 AM – 4:00 PM,4.5,http://www.american.edu/cas/museum/,,,,,
NATIONAL MUSUEM OF AFRICAN AMERICAN HISTORY AND CULTURE,1400 CONSTITUTION AVENUE NW,-77.03280325,38.89124508,+1 844-750-3012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,http://nmaahc.si.edu/,true,,,,
WOODROW WILSON HOUSE,2340 S STREET NW,-77.05170373,38.91385408,+1 202-387-4062,false,6,1600,6,1100,,,,,,,,,,,,,,,,,,,,,Monday: Closed,Tuesday: Closed,Wednesday: Closed,Thursday: Closed,Friday: Closed,Saturday: 11:00 AM – 4:00 PM,Sunday: Closed,4.6,http://www.woodrowwilsonhouse.org/,,,,,
TUDOR PLACE,1644 31ST STREET NW,-77.06298578,38.9114871,+1 202-965-0400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,https://www.tudorplace.org/,true,,,,
SEWALL-BELMONT,144 CONSTITUTION AVENUE NE,-77.00375617,38.89218722,+1 202-543-2240,true,0,1700,0,0900,3,1700,3,0900,4,1700,4,0900,5,1700,5,0900,6,1700,6,0900,,,,,Monday: Closed,Tuesday: Closed,Wednesday: 9:00 AM – 5:00 PM,Thursday: 9:00 AM – 5:00 PM,Friday: 9:00 AM – 5:00 PM,Saturday: 9:00 AM – 5:00 PM,Sunday: 9:00 AM – 5:00 PM,4.6,https://www.nps.gov/bepa/index.htm,,,,,
LINCOLN'S COTTAGE,LINCOLN''S COTTAGE,-77.0117684,38.94170034,+1 202-829-0436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,http://www.lincolncottage.org/,true,,,,
RENWICK GALLERY,1661 PENNSYLVANIA AVENUE NW,-77.03908805,38.89913087,+1 202-633-7970,false,0,1730,0,1000,1,1730,1,1000,2,1730,2,1000,3,1730,3,1000,4,1730,4,1000,5,1730,5,1000,Monday: 10:00 AM – 5:30 PM,Tuesday: 10:00 AM – 5:30 PM,Wednesday: 10:00 AM – 5:30 PM,Thursday: 10:00 AM – 5:30 PM,Friday: 10:00 AM – 5:30 PM,Saturday: 10:00 AM – 5:30 PM,Sunday: 10:00 AM – 5:30 PM,4.7,https://americanart.si.edu/visit/renwick,,6,1730,6,1000
NATIONAL MUSEUM OF THE AMERICAN INDIAN,NATIONAL MUSEUM OF THE AMERICAN INDIAN,-77.01662957,38.88827538,+1 202-633-1000,false,0,1730,0,1000,1,1730,1,1000,2,1730,2,1000,3,1730,3,1000,4,1730,4,1000,5,1730,5,1000,Monday: 10:00 AM – 5:30 PM,Tuesday: 10:00 AM – 5:30 PM,Wednesday: 10:00 AM – 5:30 PM,Thursday: 10:00 AM – 5:30 PM,Friday: 10:00 AM – 5:30 PM,Saturday: 10:00 AM – 5:30 PM,Sunday: 10:00 AM – 5:30 PM,4.5,http://nmai.si.edu/,,6,1730,6,1000
NATIONAL POSTAL MUSEUM,2 MASSACHUSETTS AVENUE NE,-77.00818895,38.89813891,+1 202-633-5555,false,0,1730,0,1000,1,1730,1,1000,2,1730,2,1000,3,1730,3,1000,4,1730,4,1000,5,1730,5,1000,Monday: 10:00 AM – 5:30 PM,Tuesday: 10:00 AM – 5:30 PM,Wednesday: 10:00 AM – 5:30 PM,Thursday: 10:00 AM – 5:30 PM,Friday: 10:00 AM – 5:30 PM,Saturday: 10:00 AM – 5:30 PM,Sunday: 10:00 AM – 5:30 PM,4.6,https://postalmuseum.si.edu/,,6,1730,6,1000
NATIONAL AIR AND SPACE MUSEUM,NATIONAL AIR AND SPACE MUSEUM,-77.01984769,38.88820497,+1 202-633-2214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,https://airandspace.si.edu/,true,,,,
NATIONAL MUSEUM OF AFRICAN ART,950 INDEPENDENCE AVENUE SW,-77.02550689,38.8879547,+1 202-633-4600,false,0,1730,0,1000,1,1730,1,1000,2,1730,2,1000,3,1730,3,1000,4,1730,4,1000,5,1730,5,1000,Monday: 10:00 AM – 5:30 PM,Tuesday: 10:00 AM – 5:30 PM,Wednesday: 10:00 AM – 5:30 PM,Thursday: 10:00 AM – 5:30 PM,Friday: 10:00 AM – 5:30 PM,Saturday: 10:00 AM – 5:30 PM,Sunday: 10:00 AM – 5:30 PM,4.7,http://africa.si.edu/,,6,1730,6,1000
NATIONAL MUSEUM OF NATURAL HISTORY,NATIONAL MUSEUM OF NATURAL HISTORY,-77.02595438,38.89121662,+1 202-208-3100,false,1,1630,1,0830,2,1630,2,0830,3,1630,3,0830,4,1630,4,0830,5,1630,5,0830,,,,,Monday: 8:30 AM – 4:30 PM,Tuesday: 8:30 AM – 4:30 PM,Wednesday: 8:30 AM – 4:30 PM,Thursday: 8:30 AM – 4:30 PM,Friday: 8:30 AM – 4:30 PM,Saturday: Closed,Sunday: Closed,4.3,http://www.doi.gov/interiormuseum/index.cfm,,,,,
